id;lng;lat;bezirk;art_dtsch;gattung_deutsch;strname;pflanzjahr;timestamp;bewaesserungsmenge_in_liter
00008100:0029898a;13.47282;52.49349;Friedrichshain-Kreuzberg;Scharlach-Eiche;Eiche;Alt-Stralau;2020.0;2026-06-29 00:00:00+00:00;40.0
00008100:0029e599;13.51893;52.46415;Treptow-Köpenick;Ahornblättrige Platane;Platane;;2021.0;2026-05-31 00:00:00+00:00;30.0
00008100:000bf469;13.4276;52.48195;Neukölln;Kleinkronige Winter-Linde;Linde;Mainzer Straße;2013.0;2026-06-26 00:00:00+00:00;50.0
00008100:0028452f;13.18498;52.54747;Spandau;Baum-Hasel;Hasel;Falkenseer Chaussee;2019.0;2026-06-25 00:00:00+00:00;50.0
00008100:0028452f;13.18498;52.54747;Spandau;Baum-Hasel;Hasel;Falkenseer Chaussee;2019.0;2026-06-27 00:00:00+00:00;20.0
00008100:00153887;13.36331;52.50082;Mitte;Winter-Linde 'Greenspire';Linde;Pohlstraße;2004.0;2026-06-02 00:00:00+00:00;80.0
00008100:0015387a;13.36306;52.5009;Mitte;Holländische Linde;Linde;Pohlstraße;1960.0;2026-06-02 00:00:00+00:00;80.0
00008100:0029e593;13.5191;52.46415;Treptow-Köpenick;Ahornblättrige Platane;Platane;;2021.0;2026-05-31 00:00:00+00:00;30.0
00008100:001420e0;13.36921;52.48887;Tempelhof-Schöneberg;Sommer-Linde;Linde;Hochkirchstraße;1989.0;2026-06-01 00:00:00+00:00;100.0
00008100:00273c8a;13.27865;52.59002;Reinickendorf;Schwarz-Ahorn 'Faassen's Black';Ahorn;Am Tegeler Hafen;2018.0;2026-06-04 00:00:00+00:00;20.0
00008100:002a3ece;13.41343;52.4054;Tempelhof-Schöneberg;Schwedische Mehlbeere;Mehlbeere;Potsdamer Straße;2020.0;2026-06-18 00:00:00+00:00;80.0
00008100:00141ffc;13.36473;52.4869;Tempelhof-Schöneberg;Robinie;Robinie;Hohenfriedbergstraße;2011.0;2026-06-06 00:00:00+00:00;20.0
00008100:000cdc01;13.30134;52.52031;Charlottenburg-Wilmersdorf;Kaiser-Linde;Linde;Eosanderstraße;1988.0;2026-05-31 00:00:00+00:00;80.0
00008100:002a3ecd;13.41331;52.4054;Tempelhof-Schöneberg;Großlaubige-Mehlbeere;Mehlbeere;Potsdamer Straße;2020.0;2026-06-18 00:00:00+00:00;80.0
00008100:0020a3f8;13.39065;52.58423;Pankow;Kleinkronige Winter-Linde;Linde;Friedrich-Engels-Straße;2014.0;2026-06-20 00:00:00+00:00;60.0
00008100:000bbcdc;13.43282;52.48167;Neukölln;Winter-Linde;Linde;Flughafenstraße;2000.0;2026-06-20 00:00:00+00:00;15.0
00008100:002a3ed6;13.41708;52.40891;Tempelhof-Schöneberg;Amberbaum;Amberbaum;Töpchiner Weg;2020.0;2026-06-25 00:00:00+00:00;90.0
00008100:0028453b;13.18558;52.54736;Spandau;Baum-Hasel;Hasel;Falkenseer Chaussee;2019.0;2026-06-18 00:00:00+00:00;50.0
00008100:00225cf1;13.36273;52.48554;Tempelhof-Schöneberg;Säulen-Birke;Birke;Kolonnenstraße;2016.0;2026-06-08 00:00:00+00:00;20.0
00008100:0028453a;13.1853;52.54741;Spandau;Baum-Hasel;Hasel;Falkenseer Chaussee;2019.0;2026-06-18 00:00:00+00:00;50.0
00008100:000bd160;13.41024;52.41613;Neukölln;Eingriffliger Weissdorn;Weißdorn;Künheimer Weg;1993.0;2026-06-25 00:00:00+00:00;42.0
00008100:000cb589;13.29749;52.51873;Charlottenburg-Wilmersdorf;Echte Mehlbeere;Mehlbeere;Stallstraße;1985.0;2026-06-20 00:00:00+00:00;100.0
00008100:0029657e;13.6968;52.43834;Treptow-Köpenick;Winter-Linde 'Greenspire';Linde;;2020.0;2026-06-03 00:00:00+00:00;50.0
00008100:0028cc98;13.34167;52.47207;Tempelhof-Schöneberg;Japanische Zierkirsche 'Kanzan';;Ceciliengärten;2019.0;2026-06-22 00:00:00+00:00;60.0
00008100:002cc30e;13.28563;52.52268;Charlottenburg-Wilmersdorf;Kaiser-Linde;Linde;Sophie-Charlotten-Straße;2021.0;2026-06-06 00:00:00+00:00;40.0
00008100:0028cc9a;13.34178;52.47181;Tempelhof-Schöneberg;Japanische Zierkirsche 'Kanzan';;Ceciliengärten;2019.0;2026-06-22 00:00:00+00:00;40.0
00008100:003000cd;;;Friedrichshain-Kreuzberg;Kultur-Birne;Birne;Solmsstraße;2022.0;2026-06-30 00:00:00+00:00;13.0
00008100:002de857;13.54719;52.52873;Marzahn-Hellersdorf;Japanische Zelkove;Zelkove;Allee der Kosmonauten;2017.0;2026-05-23 00:00:00+00:00;20.0
00008100:0029eb46;13.52269;52.46322;Treptow-Köpenick;Winter-Linde 'Greenspire';Linde;Griechische Allee;2021.0;2026-05-01 00:00:00+00:00;10.0
00008100:00272fc2;13.52059;52.46333;Treptow-Köpenick;Spitz-Ahorn 'Schwedleri';Ahorn;Großstraße;2020.0;2026-05-01 00:00:00+00:00;10.0
00008100:002de857;13.54719;52.52873;Marzahn-Hellersdorf;Japanische Zelkove;Zelkove;Allee der Kosmonauten;2017.0;2026-05-04 00:00:00+00:00;20.0
00008100:0028453b;13.18558;52.54736;Spandau;Baum-Hasel;Hasel;Falkenseer Chaussee;2019.0;2026-06-27 00:00:00+00:00;20.0
00008100:00284539;13.18513;52.54745;Spandau;Baum-Hasel;Hasel;Falkenseer Chaussee;2019.0;2026-06-18 00:00:00+00:00;50.0
00008100:002a3ecb;13.41314;52.40539;Tempelhof-Schöneberg;Schwedische Mehlbeere;Mehlbeere;Potsdamer Straße;2020.0;2026-06-18 00:00:00+00:00;80.0
00008100:0012530b;13.19512;52.52439;Spandau;Spitz-Ahorn;Ahorn;Földerichstraße;1996.0;2026-06-10 00:00:00+00:00;10.0
00008100:00284539;13.18513;52.54745;Spandau;Baum-Hasel;Hasel;Falkenseer Chaussee;2019.0;2026-06-25 00:00:00+00:00;50.0
00008100:00284539;13.18513;52.54745;Spandau;Baum-Hasel;Hasel;Falkenseer Chaussee;2019.0;2026-06-27 00:00:00+00:00;20.0
